target_index,target,basis_index,basis,coefficient,nonzero,grid_validation_points,independent_probe_points,validation
15,"(0, -1, 1, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)*(4*D + z - 16)/(2*z*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
15,"(0, -1, 1, 1, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)*(2*D*z - 4*D - 7*z + 16)/(2*z*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
15,"(0, -1, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(4*D**2 + D*z - 28*D - 2*z + 44)/(2*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
15,"(0, -1, 1, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",(D - 3)/(D - 4),1,91,3,exact
16,"(0, 0, 0, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",1,1,91,3,exact
17,"(0, 0, 0, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",1,1,91,3,exact
18,"(0, 0, 1, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)/(2*(D - 3)),1,91,3,exact
19,"(0, 0, 1, 0, 1, 0, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)/(2*(D - 3)),1,91,3,exact
20,"(0, 0, 1, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,91,3,exact
20,"(0, 0, 1, 0, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,91,3,exact
20,"(0, 0, 1, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",2*(D - 3)/((D - 4)*(z - 4)),1,91,3,exact
21,"(0, 0, 1, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(D - 2)/(2*(D - 3)),1,91,3,exact
22,"(0, 0, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D - 2)/((D - 4)*(z - 4)),1,91,3,exact
22,"(0, 0, 1, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",2*(D - 3)/((D - 4)*(z - 4)),1,91,3,exact
23,"(0, 1, 0, -1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-1/(2*(D - 3)),1,91,3,exact
23,"(0, 1, 0, -1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",z/2,1,91,3,exact
23,"(0, 1, 0, -1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-(2*D - 5)/(D - 2),1,91,3,exact
23,"(0, 1, 0, -1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(z - 4)/(D - 2),1,91,3,exact
24,"(0, 1, 0, 0, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D - 2)/(2*(D - 3)),1,91,3,exact
25,"(0, 1, 0, 0, 1, 0, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",1,1,91,3,exact
