D,z,target_index,basis_index,coeff
6,2,20,1,-1/2
6,2,20,2,-3/2
6,2,21,2,-2/3
6,2,22,2,-1
6,2,22,4,-3/2
6,2,23,0,-1/6
6,2,23,2,1
6,2,23,5,-7/4
6,2,23,6,-1/2
6,2,24,0,-2/3
6,2,25,5,1
6,2,27,2,-2/3
6,2,27,6,-1/3
6,2,28,0,-2/3
6,2,28,2,-2
6,2,28,4,-3/2
6,2,28,5,-5/2
6,2,28,6,-2
6,2,29,1,-1/5
6,2,29,5,3/4
6,2,29,6,1
6,2,29,7,-3/4
6,2,29,8,-21/10
6,2,30,0,-7/18
6,2,30,1,-1/2
6,2,30,2,-3/2
6,2,30,5,5/4
6,2,30,6,1
6,2,30,7,-5/12
6,2,30,8,-3/2
6,2,31,7,1
6,2,33,0,4/9
6,2,33,7,5/6
6,2,34,1,-4/15
6,2,34,5,1
6,2,34,8,6/5
6,2,35,8,1
6,2,37,0,1/3
6,2,37,1,1/5
6,2,37,2,1
6,2,37,5,1/2
6,2,37,6,2/5
6,2,37,8,4/5
6,2,38,0,-10/9
6,2,38,1,4/15
6,2,38,3,-1/3
6,2,38,5,-6
6,2,38,6,-24/5
6,2,38,7,-5/6
6,2,38,8,-3/5
6,2,38,9,1
6,2,38,10,-14/3
6,2,38,11,-8/3
6,2,39,9,1
6,3,0,0,9/4
6,3,0,1,-83/15
6,3,0,2,-37/12
6,3,0,3,5/6
6,3,0,5,267/8
6,3,0,6,3847/120
6,3,0,7,3/4
6,3,0,8,19/10
6,3,0,9,-47/10
6,3,0,10,115/6
6,3,0,11,5
6,3,1,0,-4/3
6,3,1,1,1/15
6,3,1,2,-1
6,3,1,3,-1/6
6,3,1,4,9/4
6,3,1,5,-13/2
6,3,1,6,-6
6,3,1,8,-11/5
6,3,1,9,1/2
6,3,1,10,-8/3
6,3,1,11,-1
6,3,2,2,1
6,3,2,4,-1/2
6,3,3,0,-1/3
6,3,3,1,-1/3
6,3,3,2,1/3
6,3,4,0,-1
6,3,4,1,-1
6,3,4,2,-2
6,3,4,4,3/2
6,3,5,0,-1/12
6,3,5,2,13/12
6,3,5,5,-7/8
6,3,5,6,1/24
6,3,6,0,-1/3
6,3,6,2,1/3
6,3,6,5,1/2
6,3,6,6,1/6
6,3,7,0,4/9
6,3,7,2,4/3
6,3,7,4,3/2
6,3,7,5,5/3
6,3,7,6,4/3
6,3,8,0,-5/6
6,3,8,7,-7/4
6,3,9,1,-1/5
6,3,9,6,3/5
6,3,9,8,-21/10
6,3,10,0,-1
6,3,10,1,-1
6,3,10,2,-19/6
6,3,10,6,1/6
6,3,10,8,-3/2
6,3,11,0,17/3
6,3,11,1,-12
6,3,11,2,-6
6,3,11,3,11/6
6,3,11,5,449/6
