D,z,target_index,basis_index,coeff
13,1,13,2,11/20
13,1,13,3,-1/405
13,1,13,5,-2635/2052
13,1,13,6,-127/855
13,1,13,8,47/76
13,1,13,9,1
13,1,13,10,-17/4
13,1,13,11,-3/10
13,1,14,0,1573/5400
13,1,14,1,3509/20520
13,1,14,2,-22/45
13,1,14,3,2/405
13,1,14,4,-22/27
13,1,14,5,1333/570
13,1,14,6,43/95
13,1,14,8,29/38
13,1,14,10,9/10
13,1,14,11,3/5
13,1,15,0,-407/540
13,1,15,1,187/540
13,1,15,2,-367/540
13,1,15,4,10/9
13,1,16,2,1
13,1,17,4,1
13,1,18,0,-11/20
13,1,19,1,-11/20
13,1,20,0,-11/54
13,1,20,1,-11/54
13,1,20,2,-20/27
13,1,21,2,-11/20
13,1,22,2,-11/27
13,1,22,4,-20/27
13,1,23,0,-1/20
13,1,23,2,1/2
13,1,23,5,-21/11
13,1,23,6,-3/11
13,1,24,0,-11/20
13,1,25,5,1
13,1,27,2,-11/20
13,1,27,6,-1/10
13,1,28,0,-121/270
13,1,28,2,-22/27
13,1,28,4,-20/27
13,1,28,5,-62/27
13,1,28,6,-4/9
13,1,29,1,-11/62
13,1,29,5,10/11
13,1,29,6,82/341
13,1,29,7,-10/11
13,1,29,8,-20/31
13,1,30,0,-803/10800
13,1,30,1,-11/108
13,1,30,2,-10/27
13,1,30,5,31/22
13,1,30,6,3/11
13,1,30,7,-279/440
13,1,30,8,-1/2
13,1,31,7,1
13,1,33,0,121/400
13,1,33,7,31/40
13,1,34,1,-121/620
13,1,34,5,1
13,1,34,6,2/31
13,1,34,8,40/31
13,1,35,8,1
13,1,37,0,121/1080
13,1,37,1,121/2052
13,1,37,2,11/27
13,1,37,5,31/114
13,1,37,6,1/19
13,1,37,8,29/38
13,1,38,0,-2299/3600
13,1,38,1,-3509/20520
13,1,38,3,-2/405
13,1,38,5,-2635/1026
13,1,38,6,-85/171
13,1,38,7,-31/40
13,1,38,8,9/38
13,1,38,9,1
13,1,38,10,-14/5
13,1,38,11,-3/5
13,1,39,9,1
13,2,0,0,1159/720
13,2,0,1,-32571/47120
13,2,0,2,-61/20
13,2,0,3,71/4455
13,2,0,5,110629/7524
13,2,0,6,63149/18810
13,2,0,7,10/11
13,2,0,8,-419/1178
13,2,0,9,-1981/341
13,2,0,10,2577/110
13,2,0,11,142/55
13,2,1,0,-77/80
13,2,1,1,-1309/13680
13,2,1,2,13/180
13,2,1,3,-29/4455
13,2,1,4,130/99
13,2,1,5,-5611/836
13,2,1,6,-3107/2090
13,2,1,8,-1259/418
13,2,1,9,9/11
13,2,1,10,-603/110
13,2,1,11,-58/55
13,2,2,2,1
13,2,2,4,-1
13,2,3,0,-11/40
13,2,3,1,-11/40
13,2,3,2,11/20
13,2,4,0,-11/36
13,2,4,1,-11/36
13,2,4,2,-1/2
13,2,4,4,10/9
13,2,5,0,-1/40
13,2,5,2,21/20
13,2,5,5,-21/22
13,2,5,6,1/110
13,2,6,0,-11/40
13,2,6,2,11/20
13,2,6,5,1/2
13,2,6,6,1/10
13,2,7,0,121/360
13,2,7,2,121/180
13,2,7,4,10/9
13,2,7,5,31/18
13,2,7,6,31/90
13,2,8,0,-3/5
13,2,8,7,-21/11
13,2,9,1,-11/62
13,2,9,6,2/11
13,2,9,8,-840/341
13,2,10,0,-11/36
13,2,10,1,-11/36
13,2,10,2,-209/180
13,2,10,6,9/110
13,2,10,8,-20/11
13,2,11,0,2651/900
13,2,11,1,-23353/23560
13,2,11,2,-33/10
13,2,11,3,2/81
13,2,11,5,20863/855
13,2,11,6,940/171
13,2,11,7,31/10
13,2,11,8,1721/589
13,2,11,9,-226/31
13,2,11,10,159/5
13,2,11,11,4
13,2,12,7,1
13,2,12,9,-40/31
13,2,13,0,-121/720
13,2,13,1,121/1520
13,2,13,2,11/20
13,2,13,3,-1/405
13,2,13,5,-1457/684
13,2,13,6,-769/1710
13,2,13,8,9/38
13,2,13,9,1
13,2,13,10,-47/10
13,2,13,11,-2/5
13,2,14,0,121/900
13,2,14,1,-121/1520
13,2,14,2,-11/15
13,2,14,3,1/405
13,2,14,4,-11/9
13,2,14,5,186/95
13,2,14,6,48/95
13,2,14,8,29/38
13,2,14,10,9/10
13,2,14,11,2/5
13,2,15,0,-209/360
13,2,15,1,-11/360
13,2,15,2,-21/20
13,2,15,4,10/9
13,2,16,2,1
13,2,17,4,1
13,2,18,0,-11/20
13,2,19,1,-11/20
13,2,20,0,-11/36
13,2,20,1,-11/36
13,2,20,2,-10/9
13,2,21,2,-11/20
13,2,22,2,-11/18
13,2,22,4,-10/9
13,2,23,0,-1/20
13,2,23,2,1
13,2,23,5,-21/11
13,2,23,6,-2/11
13,2,24,0,-11/20
13,2,25,5,1
13,2,27,2,-11/20
13,2,27,6,-1/10
13,2,28,0,-121/360
13,2,28,2,-11/9
13,2,28,4,-10/9
13,2,28,5,-31/18
13,2,28,6,-4/9
13,2,29,1,-11/62
13,2,29,5,10/11
13,2,29,6,4/11
13,2,29,7,-10/11
13,2,29,8,-840/341
13,2,30,0,-1001/3600
13,2,30,1,-11/36
13,2,30,2,-10/9
13,2,30,5,31/22
13,2,30,6,4/11
13,2,30,7,-279/440
13,2,30,8,-20/11
13,2,31,7,1
13,2,33,0,121/400
13,2,33,7,31/40
13,2,34,1,-121/620
13,2,34,5,1
13,2,34,8,40/31
13,2,35,8,1
13,2,37,0,121/720
13,2,37,1,121/1368
13,2,37,2,11/18
13,2,37,5,31/76
13,2,37,6,2/19
13,2,37,8,29/38
13,2,38,0,-2299/3600
13,2,38,1,121/760
13,2,38,3,-2/405
13,2,38,5,-1457/342
13,2,38,6,-188/171
13,2,38,7,-31/40
13,2,38,8,-10/19
13,2,38,9,1
13,2,38,10,-28/5
13,2,38,11,-4/5
13,2,39,9,1
13,3,0,0,2197/1440
13,3,0,1,-610819/169632
13,3,0,2,-121/40
13,3,0,3,131/8910
13,3,0,5,432647/15048
13,3,0,6,5138677/583110
13,3,0,7,10/11
13,3,0,8,105471/51832
13,3,0,9,-3841/682
13,3,0,10,11973/440
13,3,0,11,393/220
13,3,1,0,-143/144
13,3,1,1,1705/8208
13,3,1,2,-187/180
13,3,1,3,-47/13365
13,3,1,4,130/99
13,3,1,5,-6169/836
13,3,1,6,-2231/1045
13,3,1,8,-2199/836
13,3,1,9,9/11
13,3,1,10,-1107/220
13,3,1,11,-47/110
13,3,2,2,1
13,3,2,4,-1/2
13,3,3,0,-11/40
13,3,3,1,-11/40
13,3,3,2,11/40
13,3,4,0,-11/18
13,3,4,1,-11/18
13,3,4,2,-29/18
13,3,4,4,10/9
13,3,5,0,-1/40
13,3,5,2,41/40
13,3,5,5,-21/22
13,3,5,6,1/220
13,3,6,0,-11/40
13,3,6,2,11/40
13,3,6,5,1/2
13,3,6,6,1/20
13,3,7,0,121/540
13,3,7,2,121/180
13,3,7,4,10/9
13,3,7,5,31/27
13,3,7,6,73/270
13,3,8,0,-3/5
13,3,8,7,-21/11
13,3,9,1,-11/62
13,3,9,6,73/341
13,3,9,8,-840/341
13,3,10,0,-11/18
13,3,10,1,-11/18
13,3,10,2,-409/180
13,3,10,6,9/110
13,3,10,8,-20/11
13,3,11,0,11209/3600
13,3,11,1,-2764729/424080
13,3,11,2,-99/20
13,3,11,3,11/405
13,3,11,5,186217/3420
13,3,11,6,864053/53010
13,3,11,7,31/10
13,3,11,8,16215/2356
13,3,11,9,-299/31
13,3,11,10,981/20
13,3,11,11,33/10
13,3,12,7,1
13,3,12,9,-20/31
13,3,13,0,-121/720
13,3,13,1,1573/2736
13,3,13,2,11/20
13,3,13,3,-1/405
13,3,13,5,-3193/684
13,3,13,6,-1202/855
13,3,13,8,-11/76
13,3,13,9,1
13,3,13,10,-103/20
13,3,13,11,-3/10
13,3,14,0,121/1800
13,3,14,1,-1573/4104
13,3,14,2,-22/15
13,3,14,3,2/1215
13,3,14,4,-22/9
13,3,14,5,1643/570
13,3,14,6,53/57
13,3,14,8,29/38
13,3,14,10,9/10
13,3,14,11,1/5
13,3,15,0,-143/180
13,3,15,1,-77/180
13,3,15,2,-389/180
13,3,15,4,10/9
13,3,16,2,1
13,3,17,4,1
13,3,18,0,-11/20
13,3,19,1,-11/20
13,3,20,0,-11/18
13,3,20,1,-11/18
13,3,20,2,-20/9
13,3,21,2,-11/20
13,3,22,2,-11/9
13,3,22,4,-20/9
13,3,23,0,-1/20
13,3,23,2,3/2
13,3,23,5,-21/11
13,3,23,6,-1/11
13,3,24,0,-11/20
13,3,25,5,1
13,3,27,2,-11/20
13,3,27,6,-1/10
13,3,28,0,-121/270
13,3,28,2,-22/9
13,3,28,4,-20/9
13,3,28,5,-62/27
13,3,28,6,-20/27
13,3,29,1,-11/62
13,3,29,5,10/11
13,3,29,6,166/341
13,3,29,7,-10/11
13,3,29,8,-1460/341
13,3,30,0,-1067/1200
13,3,30,1,-11/12
13,3,30,2,-10/3
13,3,30,5,31/22
13,3,30,6,5/11
13,3,30,7,-279/440
13,3,30,8,-69/22
